Year;Bird_ID;GLS_ID;Sex;Date;Nest;Nest_content;Capture_method;Headbill;Culmen;Wing;Right_tarsus;Mass;Index_body_condition;Muscle_Pectoral;Score_Personal;Long_Egg;Long_Egg_cm;Larg_Egg;Larg_Egg_cm;Vol_egg;Arrival_date;Arrival_date_num;Arrival_date_propre;Arrival_date_propre_num;date_enter_nest;date_enter_nest_num;Hatch_date;Hatch_date_num;weigh_hatching;Hatching_success;Chick_mass_gain_(g/d)_1st_15d;pente_chick_growth_1-15d;N_SIA_Blood;N_SIA_head_Feather;C_SIA_Blood;C_SIA_head_Feather;Chick_sex;Cortico;Hg_HF;Hg_blood;Season_Hg_Blood;Hg_BF;BF_side;Long_Median_15Oct_20Fev;Lat_Median_15Oct_20Fev;Long_Median_DecJan;Lat_Median_DecJan;Long_Median_Dec_20Fev;Lat_Median_Dec_20Fev;d_PL_15Oct_20Fev;d_PL_DecJan;d_PL_1Dec_20Fev;Max_d_col__Dec_Jan;Max_d_col__15Oct_20Fev;PL_Lat;PL_Long
2010;LIAK10EG37;3654;M;14-juil;M17;E;Nest;51,47;14,41;117;20,36;152,00;5,1978;1,01;3,00;47,16;4,72;34,11;3,41;27,98384659;07/06/2010;157;11/06/2010;161;18/06/2010;168;18/07/2010;198;NA;Y;5,982;5,798;11,438;12,40;-21,067;-16,172;NA;6,5;3,15913;0,43759;breeding;1,03177;ventral;48,1809921;41,78047757;49,34873182;40,85805485;49,04254328;40,61460436;543,9472908;651,5268446;675,8853269;5437,983299;5708,314172;NA;NA
2010;LIAK10EG18;3658;M;12-juil;M37;E;Nest;52,82;15,55;119;22,43;158,00;2,506393;1,28;1,50;NA;NA;NA;NA;NA;09/06/2010;159;09/06/2010;159;21/06/2010;171;20/07/2010;200;NA;Y;6,344;6,146;11,476;11,26;-21,033;-19,114;NA;11,8;2,52794;0,99548;breeding;1,20589;ventral;36,47336887;55,26833518;37,57013181;54,09001092;37,98363783;54,1558477;1262,721196;1121,262058;1106,858579;3828,649605;3828,649605;NA;NA
2010;LIAK10EG40;3660;F;14-juil;M26;E;Nest;52,65;13,75;121;20,51;157,00;5,349533;1,04;2,00;46,76;4,68;32,64;3,26;25,40650807;NA;NA;NA;NA;18/06/2010;168;15/07/2010;195;NA;Y;7,236;7,148;11,520;9,38;-21,212;-17,433;NA;7,3;4,44594;0,67781;breeding;1,07523;ventral;43,24759362;47,06563961;44,05475633;46,61251557;43,96803864;46,76665127;388,7803248;326,4013753;332,6486763;4714,677213;4714,677213;NA;NA
2010;LIAK10EG36;3665;F;14-juil;NA;NA;Lasso;51,89;14,49;117;22,4;143,00;-9,499252;1,25;4,50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;N;NA;NA;11,281;9,33;-20,719;-18,324;NA;6,2;1,80452;0,98112;breeding;1,47598;dorsal;53,20617202;63,76354369;53,48278486;64,08618341;53,77521317;64,01237686;1924,243332;1962,096398;1957,0499;3213,70734;3485,737182;NA;NA
2010;LIAK10EG07;3666;M;11-juil;M15;E;Nest;53,26;13,95;117;21,47;159,00;5,986725;1,28;3,50;48,08;4,81;33,05;3,31;26,78413114;05/06/2010;155;07/06/2010;157;15/06/2010;165;19/07/2010;199;NA;Y;6,956;6,619;11,401;NA;-21,226;NA;NA;5,9;3,66001;1,18394;breeding;3,17655;ventral;48,17999617;43,7838344;49,10107649;42,45492699;48,5982854;42,88051266;321,2694993;472,7792069;422,0307513;5345,336152;5345,336152;NA;NA
2010;LIAK10EG46;3669;F;16-juil;NA;NA;Lasso;53,66;14,42;117;20,56;145,00;-6,642242;0,91;1,00;NA;NA;NA;NA;NA;07/06/2010;157;07/06/2010;157;NA;NA;NA;NA;NA;Unk;NA;NA;11,660;11,20;-21,090;-18,874;NA;8;4,16886;0,787;breeding;1,17859;ventral;45,56394887;45,94140771;46,33823982;44,96693096;47,13039769;43,85868354;227,4199222;244,3874997;326,5082383;5170,190302;5965,556001;NA;NA
2010;LIAK10EG01;3671;F;11-juil;M21;E;Nest;51,93;14,43;123;21,9;160,00;5,402649;1,2;2,00;48,19;4,82;33,21;3,32;27,10596378;17/06/2010;167;17/06/2010;167;17/06/2010;167;NA;NA;NA;N;NA;NA;11,537;10,11;-20,880;-18,142;NA;13,4;NA;0,8884;breeding;1,89127;dorsal;45,3821302;46,04658147;45,12459808;45,55677091;45,16344003;45,53747651;236,6200927;276,3812821;274,7244131;4865,232673;4878,09297;NA;NA
2010;LIAK10EG27;3673;F;12-juil;NA;NA;Lasso;53,47;15,34;118;21,86;166,00;11,10422;1,18;1,00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Unk;NA;NA;11,406;12,26;-21,049;-18,767;NA;8,2;2,25229;0,74403;breeding;0,77832;dorsal;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2010;LIAK10EG34;3674;M;13-juil;M27;E;Nest;52,24;14,32;119;21,37;146,00;-5,812576;0,99;4,50;NA;NA;NA;NA;NA;21/06/2010;171;21/06/2010;171;21/06/2010;171;NA;NA;NA;Unk;NA;NA;11,486;9,86;-21,111;-18,176;NA;7,9;NA;0,84992;breeding;0,87192;dorsal;54,48636176;42,2514043;55,41340806;42,09625212;55,17230077;41,95645151;692,5824734;758,1522282;755,2395182;5461,096475;5714,329793;NA;NA
2010;LIAK10EG39;3675;F;14-juil;M19;E;Nest;50,45;13,71;115;19,92;130,00;-12,65172;1,29;3,00;46,95;4,70;31,62;3,16;23,94029535;12/06/2010;162;12/06/2010;162;23/06/2010;173;NA;NA;NA;N;NA;NA;11,387;12,54;-20,959;-16,271;NA;3,2;NA;0,52902;breeding;0,86982;ventral;50,2118168;41,22928833;50,41831286;40,35735556;50,13645047;40,40347304;623,526126;721,9019829;711,9284264;5549,327632;5682,425175;NA;NA
