code_usine;lat;lon;display_name;importance;Adresse  ;Code postal INSEE;INSEE;commune;postal;Ligne_5;type
84;46.8759026;0.5688208;Ingrandes, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86220, France;0,5192470983242315;Zone industrielle;86111;86111;INGRANDES;86220;;administrative
85;46.4887916;0.3113773;Iteuil, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86240, France;0,5185445190977896;4 lieu-dit Papault;86113;86113;ITEUIL;86240;;administrative
86;46.4786050;0.3015748;Rue de la Forge, La Clémencalière, Iteuil, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86240, France;0,05340342030975811;20 Rue de la Forge;86113;86113;ITEUIL;86240;;residential
87;46.4891447;0.3040876;Rue de la Crémaude, Iteuil, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86240, France;0,05340342030975811;36 Rue de la crémaude;86113;86113;ITEUIL;86240;;residential
88;46.4974871;0.2974129;Chemin du Papault à Ruffigny, Iteuil, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86240, France;0,05340342030975811;Papault;86113;86113;ITEUIL;86240;;tertiary
89;46.6881946;0.3863046;Avenue de Paris, Jaunay-Clan, Jaunay-Marigny, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86130, France;0,05340342030975811;55-57 Avenue de Paris;86115;86115;JAUNAY MARIGNY;86130;JAUNAY CLAN;primary
89;46.6884944;0.3865737;Avenue de Paris, Jaunay-Clan, Jaunay-Marigny, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86130, France;0,05340342030975811;55-57 Avenue de Paris;86115;86115;JAUNAY MARIGNY;86380;MARIGNY BRIZAY;primary
90;46.2362410;0.6833603;49, Rue du Ribotteau, L'Isle-Jourdain, Montmorillon, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86150, France;5,941481651021618e-05;49 Rue du Ribotteau;86112;86112;L ISLE JOURDAIN;86150;;yes
91;46.3325275;0.9615639;17, Route du Dorat, Lathus, Lathus-Saint-Rémy, Montmorillon, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86390, France;5,960860608830423e-05;17 Rte du Dorat;86120;86120;LATHUS ST REMY;86390;ST REMY EN MONTMORILLON;house
92;46.5215628;0.3189777;Chemin des Deux Croix, Ligugé, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86240, France;0,05340342030975811;Chemin des Deux Croix;86133;86133;LIGUGE;86240;;tertiary
93;46.5186075;0.3337492;Avenue de la Plage, Ligugé, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86240, France;0,05340342030975811;avenue de la plage ;86133;86133;LIGUGE;86240;;tertiary
